Trained,Tested,Model,Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1,,,,,,,,,,
Mix,Fusar-ship,CNN,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Opensarship,CNN,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Mix,CNN,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Fusar-ship,CNN,64.68,44.8,64.68,52.94,96.45,100,96.45,98.19,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Opensarship,CNN,61.93,59.87,61.93,60.87,76.48,100,76.48,86.67,0,0,0,0,24.38,100,24.38,39.21,,,,,,,,,,
Mix+Fusar,Mix,CNN,61.58,54.93,61.58,58.03,80.24,100,80.24,89.04,0,0,0,0,22.22,100,22.22,36.36,,,,,,,,,,
Mix+Opensar,Fusar-ship,CNN,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Opensarship,CNN,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Mix,CNN,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Fusar-ship,Fine-VGG,70.63,69.2,70.63,63.23,97.04,100,97.04,98.5,9.65,100,9.65,17.6,39.7,100,39.7,56.83,,,,,,,,,,
Mix,Opensarship,Fine-VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
